customer_id,gender,usia,kota,tenure_bulan,paket,jenis_jaringan,kuota_gb,biaya_bulanan,punya_streaming_bundle,punya_ewallet_linked,metode_bayar,jumlah_komplain_6bln,skor_kepuasan_csat,pernah_upgrade_paket,total_pemakaian_data_gb,frekuensi_login_app,churn
CUST-00000,Male,60,Yogyakarta,19,Prabayar,5G,25,146.01,Yes,Yes,Transfer Bank,2,5.0,No,14.74,11,0
CUST-00001,Female,37,Lainnya,41,Hybrid,5G,50,90.54,Yes,Yes,E-Wallet,2,3.0,Yes,14.25,6,0
CUST-00002,Female,63,Semarang,69,Prabayar,Fiber,5,133.45,No,No,E-Wallet,0,4.0,No,4.63,7,0
CUST-00003,Male,44,Medan,51,Pascabayar,Fiber,Unlimited,224.06,No,No,Auto-debit,1,3.0,No,31.71,10,0
CUST-00004,Male,36,Lainnya,22,Prabayar,4G,50,67.05,Yes,No,E-Wallet,1,4.0,Yes,11.88,9,0
CUST-00005,Female,18,Bandung,48,Pascabayar,Fiber,50,89.75,Yes,Yes,Transfer Bank,0,5.0,No,23.77,8,0
CUST-00006,Male,46,Lainnya,69,Pascabayar,5G,50,73.93,No,Yes,Auto-debit,1,1.0,Yes,0.34,6,0
CUST-00007,Female,48,Jakarta,17,Prabayar,4G,50,249.93,Yes,Yes,Auto-debit,4,3.0,No,12.95,9,0
CUST-00008,Male,63,Jakarta,16,Pascabayar,Fiber,25,65.71,Yes,Yes,E-Wallet,1,2.0,Yes,3.28,9,0
CUST-00009,Male,51,Medan,2,Prabayar,5G,10,154.84,Yes,Yes,Transfer Bank,0,5.0,Yes,6.14,8,0
CUST-00010,Female,19,Jakarta,60,Pascabayar,5G,25,74.34,No,Yes,E-Wallet,1,3.0,Yes,4.65,9,0
CUST-00011,Female,44,Lainnya,59,Prabayar,5G,100,147.61,Yes,Yes,Kartu Kredit,2,3.0,No,33.79,7,0
CUST-00012,Female,52,Jakarta,29,Pascabayar,Fiber,5,73.15,Yes,Yes,Kartu Kredit,0,1.0,Yes,7.96,3,1
CUST-00013,Female,41,Makassar,62,Prabayar,5G,25,106.54,No,Yes,Kartu Kredit,3,3.0,Yes,2.96,7,0
CUST-00014,Female,38,Jakarta,46,Pascabayar,Fiber,100,267.8,Yes,Yes,Kartu Kredit,2,3.0,No,8.55,11,0
CUST-00015,Female,56,Lainnya,70,Prabayar,4G,50,168.42,No,Yes,Kartu Kredit,2,1.0,No,4.13,4,0
CUST-00016,Female,46,Bandung,66,Pascabayar,Fiber,5,144.07,No,Yes,Transfer Bank,0,1.0,Yes,2.09,9,0
CUST-00017,Male,50,Jakarta,69,Prabayar,5G,Unlimited,163.22,Yes,Yes,Kartu Kredit,1,3.0,No,11.36,8,0
CUST-00018,Female,39,Jakarta,28,Prabayar,5G,5,277.83,Yes,No,E-Wallet,1,5.0,No,6.23,8,0
CUST-00019,Male,31,Medan,45,Pascabayar,Fiber,25,148.42,No,Yes,E-Wallet,1,2.0,Yes,13.35,8,0
CUST-00020,Female,42,Lainnya,12,Prabayar,4G,5,217.41,Yes,Yes,Transfer Bank,0,5.0,No,0.23,9,0
CUST-00021,Male,63,Lainnya,64,Prabayar,4G,10,220.42,Yes,Yes,Transfer Bank,0,3.0,No,1.34,10,0
CUST-00022,Male,46,Surabaya,22,Pascabayar,Fiber,25,207.46,Yes,No,Kartu Kredit,0,4.0,Yes,16.65,11,0
CUST-00023,Female,51,Bandung,32,Prabayar,Fiber,10,362.01,No,Yes,Kartu Kredit,0,2.0,Yes,20.67,4,0
CUST-00024,Female,23,Jakarta,42,Hybrid,5G,Unlimited,182.56,No,Yes,E-Wallet,0,4.0,No,3.87,9,0
CUST-00025,Female,64,Medan,56,Prabayar,5G,50,211.15,No,Yes,Transfer Bank,1,2.0,No,5.59,9,1
CUST-00026,Male,29,Semarang,52,Hybrid,4G,25,107.47,Yes,No,E-Wallet,1,4.0,No,40.34,5,0
CUST-00027,Female,63,Surabaya,68,Hybrid,5G,10,139.07,Yes,Yes,Kartu Kredit,1,5.0,No,8.27,8,0
CUST-00028,Female,38,Semarang,51,Prabayar,4G,25,135.95,Yes,Yes,Auto-debit,4,3.0,No,25.17,9,0
CUST-00029,Male,61,Lainnya,57,Prabayar,Fiber,25,89.55,Yes,No,E-Wallet,0,2.0,Yes,4.58,5,0
CUST-00030,Male,59,Jakarta,41,Pascabayar,5G,100,94.2,No,Yes,Kartu Kredit,0,3.0,No,22.1,3,0
CUST-00031,Male,53,Jakarta,29,Pascabayar,4G,10,134.96,No,Yes,Transfer Bank,1,5.0,No,7.9,9,0
CUST-00032,Male,61,Jakarta,65,Prabayar,5G,100,151.77,Yes,No,E-Wallet,1,3.0,No,3.8,9,0
CUST-00033,Female,46,Jakarta,27,Prabayar,Fiber,25,273.22,No,No,Auto-debit,1,5.0,No,3.83,10,0
CUST-00034,Female,57,Jakarta,44,Prabayar,5G,10,89.46,Yes,Yes,E-Wallet,2,5.0,No,64.67,2,1
CUST-00035,Male,26,Semarang,20,Pascabayar,4G,25,87.06,No,No,Transfer Bank,2,2.0,Yes,3.41,7,0
CUST-00036,Female,21,Jakarta,34,Pascabayar,5G,5,68.02,Yes,Yes,Kartu Kredit,2,1.0,Yes,13.65,8,1
CUST-00037,Female,43,Yogyakarta,26,Prabayar,5G,50,194.78,No,No,Transfer Bank,1,2.0,Yes,66.06,12,0
CUST-00038,Male,56,Lainnya,18,Pascabayar,4G,100,301.56,Yes,No,E-Wallet,2,1.0,No,21.28,9,1
CUST-00039,Female,53,Lainnya,59,Pascabayar,5G,50,131.33,Yes,No,Auto-debit,2,4.0,No,23.86,5,0
CUST-00040,Male,42,Makassar,55,Hybrid,4G,5,155.05,No,Yes,E-Wallet,2,3.0,No,0.91,11,0
CUST-00041,Female,42,Jakarta,50,Prabayar,5G,50,132.64,No,Yes,Kartu Kredit,1,2.0,No,13.55,6,0
CUST-00042,Female,46,Jakarta,5,Prabayar,4G,5,186.19,No,No,Auto-debit,0,5.0,No,18.47,6,0
CUST-00043,Male,58,Jakarta,17,Prabayar,5G,25,80.91,No,Yes,Transfer Bank,0,1.0,Yes,13.03,5,0
CUST-00044,Male,57,Lainnya,15,Pascabayar,5G,50,168.67,Yes,No,Auto-debit,2,1.0,Yes,2.65,3,1
CUST-00045,Female,23,Lainnya,51,Prabayar,5G,Unlimited,132.57,Yes,Yes,E-Wallet,0,3.0,Yes,10.44,8,0
CUST-00046,Male,45,Bandung,64,Prabayar,4G,Unlimited,197.93,Yes,No,Auto-debit,0,2.0,No,3.81,6,0
CUST-00047,Female,35,Surabaya,27,Pascabayar,4G,50,194.73,Yes,Yes,Kartu Kredit,0,3.0,Yes,8.87,12,0
CUST-00048,Female,55,Medan,23,Pascabayar,5G,10,160.08,No,Yes,Kartu Kredit,0,1.0,No,9.99,10,0
CUST-00049,Female,41,Surabaya,40,Prabayar,Fiber,100,122.81,No,No,Auto-debit,3,2.0,No,0.31,5,1
CUST-00050,Female,64,Lainnya,71,Prabayar,4G,25,91.06,No,Yes,Transfer Bank,0,3.0,No,4.25,11,0
CUST-00051,Male,38,Jakarta,26,Prabayar,4G,50,192.81,No,Yes,Auto-debit,2,1.0,No,63.71,13,1
CUST-00052,Male,49,Surabaya,20,Prabayar,Fiber,10,141.13,No,Yes,Transfer Bank,2,2.0,No,2.95,9,1
CUST-00053,Male,23,Bandung,37,Prabayar,4G,25,139.74,No,Yes,Auto-debit,1,3.0,No,3.91,6,1
CUST-00054,Male,61,Jakarta,65,Prabayar,Fiber,25,113.93,No,No,Kartu Kredit,3,5.0,No,9.04,6,1
CUST-00055,Male,25,Bandung,52,Prabayar,Fiber,100,253.53,Yes,No,Transfer Bank,0,5.0,Yes,11.4,9,0
CUST-00056,Female,35,Lainnya,37,Hybrid,4G,Unlimited,258.74,No,No,Kartu Kredit,1,1.0,No,11.92,7,0
CUST-00057,Male,57,Jakarta,52,Hybrid,4G,10,118.16,No,Yes,E-Wallet,2,5.0,No,0.51,5,1
CUST-00058,Female,63,Semarang,1,Prabayar,Fiber,50,97.16,No,Yes,Auto-debit,0,5.0,No,,10,0
CUST-00059,Female,40,Bandung,54,Pascabayar,4G,Unlimited,123.12,No,No,Kartu Kredit,2,5.0,No,0.09,7,1
CUST-00060,Female,40,Jakarta,7,Prabayar,5G,5,100.83,No,Yes,Kartu Kredit,2,4.0,No,15.81,7,1
